data,dia_setmana,servei,zona,disponibles,estat
2025-11-25,Tuesday,AML1,G,5,Cobert
2025-11-25,Tuesday,AML2,G,5,Cobert
2025-11-25,Tuesday,AMO1,I,1,Cobert
2025-11-25,Tuesday,AMO2,I,1,Cobert
2025-11-25,Tuesday,ASA1,G,5,Cobert
2025-11-25,Tuesday,ASA2,G,5,Cobert
2025-11-26,Wednesday,ACR1,G,5,Cobert
2025-11-26,Wednesday,ACR2,G,5,Cobert
2025-11-26,Wednesday,AIG1,H,4,Cobert
2025-11-26,Wednesday,AIG2,H,4,Cobert
2025-11-26,Wednesday,AML1,G,5,Cobert
2025-11-26,Wednesday,AML2,G,5,Cobert
2025-11-26,Wednesday,AMO1,I,2,Cobert
2025-11-26,Wednesday,AMO2,I,2,Cobert
2025-11-26,Wednesday,ASA1,G,5,Cobert
2025-11-26,Wednesday,ASA2,G,5,Cobert
2025-11-27,Thursday,ACR1,G,5,Cobert
2025-11-27,Thursday,ACR2,G,5,Cobert
2025-11-27,Thursday,AIG1,H,3,Cobert
2025-11-27,Thursday,AIG2,H,3,Cobert
2025-11-27,Thursday,AML1,G,5,Cobert
2025-11-27,Thursday,AML2,G,5,Cobert
2025-11-27,Thursday,AMO1,I,2,Cobert
2025-11-27,Thursday,AMO2,I,2,Cobert
2025-11-27,Thursday,ASA1,G,5,Cobert
2025-11-27,Thursday,ASA2,G,5,Cobert
2025-11-28,Friday,ACR1,G,5,Cobert
2025-11-28,Friday,ACR2,G,5,Cobert
2025-11-28,Friday,AIG1,H,3,Cobert
2025-11-28,Friday,AIG2,H,3,Cobert
2025-11-28,Friday,AML1,G,5,Cobert
2025-11-28,Friday,AML2,G,5,Cobert
2025-11-28,Friday,AMO1,I,2,Cobert
2025-11-28,Friday,AMO2,I,2,Cobert
2025-11-28,Friday,ASA1,G,5,Cobert
2025-11-28,Friday,ASA2,G,5,Cobert
2025-11-29,Saturday,ACR1,G,5,Cobert
2025-11-29,Saturday,ACR2,G,5,Cobert
2025-11-29,Saturday,AIG1,H,4,Cobert
2025-11-29,Saturday,AIG2,H,4,Cobert
2025-11-29,Saturday,AML1,G,5,Cobert
2025-11-29,Saturday,AML2,G,5,Cobert
2025-11-29,Saturday,AMO1,I,2,Cobert
2025-11-29,Saturday,AMO2,I,2,Cobert
2025-11-29,Saturday,ASA1,G,5,Cobert
2025-11-29,Saturday,ASA2,G,5,Cobert
2025-11-30,Sunday,ACR1,G,6,Cobert
2025-11-30,Sunday,ACR2,G,6,Cobert
2025-11-30,Sunday,AIG1,H,4,Cobert
2025-11-30,Sunday,AIG2,H,4,Cobert
2025-11-30,Sunday,AML1,G,6,Cobert
2025-11-30,Sunday,AML2,G,6,Cobert
2025-11-30,Sunday,AMO1,I,0,Descobert
2025-11-30,Sunday,AMO2,I,0,Descobert
2025-11-30,Sunday,ASA1,G,6,Cobert
2025-11-30,Sunday,ASA2,G,6,Cobert
